dw_name,lr_name
East Midlands,EAST ANGLIA
East of England,EAST MIDLANDS
London,GREATER LONDON
North East England,NORTH
North West England,NORTH WEST
South East England,SOUTH EAST
South West England & Gibraltar,SOUTH WEST
Wales,WALES
West Midlands,WEST MIDLANDS
Yorkshire and the Humber,YORKS AND HUMBER
